location_tag,mdt,mtbf,mttr,reliability,first_failure,failure_rate,numfail_after
00ACR-C001A,1207,4279,248,2.109865889,3081.966983,0.000233655,18
00ACR-C001B,1475,4348,195,1.865995799,251.940425,0.000229946,18
00ACR-C001C,868,4298,278,0.673580645,3499.943688,0.000232635,21
00ACR-C001D,439,6901,431,4.395697722,5557.983827,0.000144889,12
00ACR-M001A,858,19404,858,28.18806539,5963.959906,5.15343E-05,4
00ACR-M001B,2525,12871,686,26.84625539,11911.95445,7.7691E-05,5
00ACR-M001C,858,19404,858,28.1880491,5963.949851,5.15343E-05,4
00ACR-M001D,858,19404,858,28.1880866,5963.973,5.15343E-05,4
00CHA-BW802A,1997,12386,1437,28.29455586,8031.972609,8.0734E-05,5
00CHA-BW802B,815,13269,686,29.89900035,1826.950933,7.53606E-05,6
00CHA-CS803,602,2990,414,50.17984465,1633.965356,0.000334439,14
00CHA-CT801,858,19404,858,28.18807297,5963.964586,5.15343E-05,4
00CHA-CT802,858,19404,858,28.18807291,5963.964546,5.15343E-05,4
00CHA-CT803,858,19404,858,28.1880421,5963.945531,5.15343E-05,4
00CHA-CT804,858,19404,858,28.1881099,5963.987379,5.15343E-05,4
00CHA-CV801A,2170,1920,250,11.68186607,1103.938719,0.000520824,27
00CHA-CV801B,885,4822,659,20.44590626,561.9832754,0.00020737,13
00CHA-CV802A,1450,2314,914,4.323366483,1503.977915,0.000432137,26
00CHA-CV802B,461,3076,286,40.51565226,1223.95749,0.000325001,15
00CHA-CV803A,2213,1236,337,34.16427838,407.9787249,0.000808892,31
00CHA-CV803B,3117,2958,283,16.67971907,641.9563594,0.000337993,19
00CHA-CV804,967,2897,353,37.70302086,1647.936471,0.000345125,16
00CHA-K101-1,858,19404,858,28.18809739,5963.97966,5.15343E-05,4
00CHA-K101-2,858,19404,858,28.18811051,5963.987759,5.15343E-05,4
00CHA-K102-1,858,19404,858,28.18803481,5963.941023,5.15343E-05,4
00CHA-K102-2,858,19404,858,28.18803746,5963.942667,5.15343E-05,4
00CHA-MS801A,825,9592,820,24.71304509,4863.953584,0.00010425,6
00CHA-MS801B,858,19404,858,28.18808464,5963.971789,5.15343E-05,4
00CHA-PAN801A,794,17592,762,29.4555714,14495.93838,5.68437E-05,5
00CHA-PAN801B,858,19404,858,28.18807481,5963.965722,5.15343E-05,4
00CHA-PAN802A,858,19404,858,28.18809195,5963.976298,5.15343E-05,4
00CHA-PAN802B,821,12901,815,26.75978867,12151.98773,7.75095E-05,5
00CHA-PAN803A,781,18490,762,29.33282458,1393.95503,5.4083E-05,5
00CHA-PAN803B,858,19404,858,28.18807833,5963.96789,5.15343E-05,4
00CHA-PAN804,858,19404,858,28.1881059,5963.984908,5.15343E-05,4
00CHA-PAN814,858,19404,858,28.18802967,5963.937858,5.15343E-05,4
00CHA-PAN815,762,13033,762,26.38544083,174.992891,7.67243E-05,5
00CHA-PAN824,794,18812,762,29.29055034,3003.965598,5.31571E-05,5
00CHA-PAN825,762,13005,762,26.46372223,12983.9893,7.68884E-05,5
00CHA-PAN826,858,19404,858,28.1880721,5963.964044,5.15343E-05,4
00CHA-PAN827,858,19404,858,28.18808301,5963.97078,5.15343E-05,4
00CHA-PAN828,858,19404,858,28.18806162,5963.957576,5.15343E-05,4
00CHA-PAN829,858,19404,858,28.18802895,5963.937414,5.15343E-05,4
00CHA-PAN848,858,19404,858,28.18808393,5963.971348,5.15343E-05,4
00CHA-PAN849,858,19404,858,28.18810935,5963.987041,5.15343E-05,4
00CHA-PAN854,858,19404,858,28.18811151,5963.988374,5.15343E-05,4
00CHA-PAN855,858,19404,858,28.18811823,5963.992511,5.15343E-05,4
00CHA-PAN858,784,11809,762,30.16381996,3415.978667,8.46809E-05,5
00CHA-SU801A,2628,392,539,8.231130252,279.955308,0.002547388,93
00CHA-SU801B,3200,717,221,1.156893323,2.954512298,0.001394682,68
00CHA-SWT801,858,19404,858,28.18807038,5963.962983,5.15343E-05,4
00CHA-SWT802,858,19404,858,28.18810728,5963.985762,5.15343E-05,4
00CHB-CV805A,1424,1160,209,25.68760109,583.9514998,0.000861987,35
00CHB-CV805B,1256,1290,178,22.66194444,533.96551,0.000775112,33
00CHB-PAN805A,762,18367,762,29.34915848,778.9934702,5.44426E-05,5
00CHB-PAN805B,858,19404,858,28.18806072,5963.957022,5.15343E-05,4
00CHB-SKR805A,2520,370,213,7.260075501,333.9710625,0.002697933,98
00CHB-SKR805B,3022,737,498,1.805451553,331.9620562,0.001355165,63
00CL-M001A,858,19404,858,28.18812678,5963.99777,5.15343E-05,4
00CL-M001B,858,19404,858,28.18808743,5963.973514,5.15343E-05,4
00CL-M002A,763,16591,763,18.60505955,8489.984278,6.02711E-05,5
00CL-M002B,858,19404,858,28.18803921,5963.943746,5.15343E-05,4
00CL-M003,858,19404,858,28.18811042,5963.987697,5.15343E-05,4
00CL-M004A,858,19404,858,28.18809534,5963.978394,5.15343E-05,4
00CL-M004B,858,19404,858,28.18811353,5963.98962,5.15343E-05,4
00CL-M005A,858,19404,858,28.1881108,5963.987933,5.15343E-05,4
00CL-M005B,858,19404,858,28.18807084,5963.963271,5.15343E-05,4
00CL-M006A,858,19404,858,28.18803663,5963.942157,5.15343E-05,4
00CL-M006B,858,19404,858,28.18805836,5963.955562,5.15343E-05,4
00CL-M007A,858,19404,858,28.18806955,5963.962474,5.15343E-05,4
00CL-M007B,858,19404,858,28.18804831,5963.949362,5.15343E-05,4
00CL-M008A,858,19404,858,28.18809882,5963.980538,5.15343E-05,4
00CL-M008B,858,19404,858,28.18804474,5963.947159,5.15343E-05,4
00CL-M009A,858,19404,858,28.18807007,5963.962793,5.15343E-05,4
00CL-M009B,858,19404,858,28.18810851,5963.986519,5.15343E-05,4
00CL-P001A,724,6961,600,28.71663433,6397.961225,0.000143649,8
00CL-P001B,2844,7635,685,7.949456043,563.9505217,0.00013097,9
00CL-P002A,617,3452,204,0.838818397,2147.939094,0.00028962,23
00CL-P002B,1502,9459,431,8.433735242,3533.973731,0.000105717,8
00CL-P003,858,19404,858,28.18808703,5963.973262,5.15343E-05,4
00CL-P004A,789,12889,765,26.79332189,12055.94755,7.758E-05,5
00CL-P004B,858,19404,858,28.18806134,5963.957407,5.15343E-05,4
00CL-PAN001,827,17902,679,5.793408747,16355.98874,5.5857E-05,7
00CL-S001A,110,1943,91,3.04043E-13,264.9556237,0.000514622,76
00CL-S001B,178,2973,150,9.34807E-07,1106.952234,0.000336361,42
00CL-T001A,678,8079,614,12.07998334,5891.962765,0.000123769,8
00CL-T001B,763,13676,763,24.6650896,4675.97075,7.31178E-05,5
00CL-T002,858,19404,858,28.18811455,5963.990247,5.15343E-05,4
00CL-XR001A,2468,5987,368,4.005488922,4735.981334,0.000167011,12
00CL-XR001B,1697,14760,770,2.070143076,12263.94223,6.77471E-05,9
00CL-Z001A,768,16567,768,18.64555194,8345.957436,6.03588E-05,5
00CL-Z001B,858,19404,858,28.18802738,5963.936446,5.15343E-05,4
00CL-Z001C,858,19404,858,28.18803056,5963.938408,5.15343E-05,4
00CL-Z001D,648,14932,637,5.793607635,13467.99844,6.69675E-05,7
00CL-Z002A,858,19404,858,28.1880542,5963.952998,5.15343E-05,4
00CL-Z002B,632,15512,625,11.27149646,2015.954178,6.44634E-05,7
00CL-Z002C,858,19404,858,28.18807667,5963.966869,5.15343E-05,4
00CL-Z002D,763,13920,763,24.05512053,6383.961942,7.18382E-05,5
00CL-Z003,858,19404,858,28.1880618,5963.957691,5.15343E-05,4
00CL-Z004,858,19404,858,28.18804731,5963.948744,5.15343E-05,4
00DMW-A385A,1472,13747,782,30.08186675,5172.966476,7.2741E-05,5
00DMW-A385B,1262,15402,1222,10.92358198,1355.981482,6.49234E-05,6
00DMW-AIX031A,858,19404,858,28.18807065,5963.96315,5.15343E-05,4
00DMW-AIX031B,765,16335,763,19.04388767,6953.961976,6.1218E-05,5
00DMW-AIX150A,858,19404,858,28.18803862,5963.943382,5.15343E-05,4
00DMW-AIX150B,763,18467,763,15.81995341,1278.991994,5.41491E-05,5
00DMW-AIX160,858,19404,858,28.18811515,5963.990622,5.15343E-05,4
