id,method,parameters,location_tag,created_at,updated_at
07f6df7b-7a4f-4ae2-b43b-a2d0712c3b1b,NHPP,"{""eta"": 15832.270460903403, ""beta"": 0.927018708548067, ""lambda"": 5.153906746684327e-05}",3EVM-MDP001,2/6/2025 5:58,5/17/2025 5:24
8ec6ee64-aaa1-4940-afee-191ac8d3a5e0,NHPP,"{""eta"": 15832.270460903403, ""beta"": 0.927018708548067, ""lambda"": 5.1539067384827375e-05}",00LSH-PAN863,2/6/2025 5:58,5/17/2025 5:24
ad1bfb10-42b5-4460-8ed3-8de93821979b,NHPP,"{""eta"": 15832.270460903403, ""beta"": 0.927018708548067, ""lambda"": 5.153906736979189e-05}",3ESP-LBX806B,2/6/2025 5:58,5/17/2025 5:24
a312b255-ff86-4717-8664-fda008e9ee33,NHPP,"{""eta"": 6874.7319143703835, ""beta"": 0.6908554007596082, ""lambda"": 4.522972006592914e-05}",3DP-M781C,2/6/2025 5:58,5/17/2025 5:24
be6a5c3d-7a81-4eed-96e6-fd9f3001a398,NHPP,"{""eta"": 15832.270460903403, ""beta"": 0.927018708548067, ""lambda"": 5.1539067199089794e-05}",3DM-B702A,2/6/2025 5:58,5/17/2025 5:24
1b30a541-47e0-46f8-9199-3ab210116c19,NHPP,"{""eta"": 15832.270460903403, ""beta"": 0.927018708548067, ""lambda"": 5.1539067472390145e-05}",00DMW-AIX371,2/6/2025 5:59,5/17/2025 5:24
7f0e73d5-4179-49b0-8bd1-8bcbd00ac137,NHPP,"{""eta"": 15832.270460903403, ""beta"": 0.927018708548067, ""lambda"": 5.153906731110524e-05}",3HRH-BS501B,2/6/2025 5:58,5/17/2025 5:24
237527e7-6b24-40e7-be4c-47c8535181d9,NHPP,"{""eta"": 15832.270460903403, ""beta"": 0.927018708548067, ""lambda"": 5.1539067198968973e-05}",3FF-V513,2/6/2025 5:58,5/17/2025 5:24
fd0db1f1-f1ae-4518-8548-f0771465f886,NHPP,"{""eta"": 19295.96225278297, ""beta"": 1.2859169784798197, ""lambda"": 0.00010381330529527417}",3DP-CVT711C,2/6/2025 5:58,5/17/2025 5:24
35fca42d-1e78-445b-9a68-c634e6b570f2,NHPP,"{""eta"": 15832.270460903403, ""beta"": 0.927018708548067, ""lambda"": 5.153906747265142e-05}",3FW-M320,2/6/2025 5:58,5/17/2025 5:24
06c02eb3-e14a-41aa-ac96-ce0c4cd8aee1,NHPP,"{""eta"": 14364.561052679512, ""beta"": 1.2217534623282753, ""lambda"": 0.00012806186054890436}",00SSB-TF010,2/6/2025 5:58,5/17/2025 5:24
85c220e3-592c-4b3b-a681-35a354958412,NHPP,"{""eta"": 15832.270460903403, ""beta"": 0.927018708548067, ""lambda"": 5.153906746847723e-05}",3LOT-M020B,2/6/2025 5:58,5/17/2025 5:24
a2343896-0631-40fc-825e-4983a347a937,NHPP,"{""eta"": 15832.270460903403, ""beta"": 0.927018708548067, ""lambda"": 5.1539067480371804e-05}",3DP-M741F,2/6/2025 5:58,5/17/2025 5:24
53d88975-8d82-4464-9600-fa3e6ee426d7,NHPP,"{""eta"": 15832.270460903403, ""beta"": 0.927018708548067, ""lambda"": 5.153906747278245e-05}",3LOS-M050,2/6/2025 5:59,5/17/2025 5:24
5ee7e889-8520-49e0-b4ba-de6d88e58579,NHPP,"{""eta"": 15832.270460903403, ""beta"": 0.927018708548067, ""lambda"": 5.153906747251623e-05}",00SSB-EV006,2/6/2025 5:58,5/17/2025 5:24
8ea2ddf3-4792-47ea-bf17-ff9515392a02,NHPP,"{""eta"": 15832.270460903403, ""beta"": 0.927018708548067, ""lambda"": 5.1539067471060676e-05}",00RO-AG003,2/6/2025 5:58,5/17/2025 5:24
7f15fcd2-422f-4d20-a822-20ce1cebc8ee,NHPP,"{""eta"": 15832.270460903403, ""beta"": 0.927018708548067, ""lambda"": 5.153906746835377e-05}",00SSB-EV007,2/6/2025 5:58,5/17/2025 5:24
